순서,년,월,일,설명
1,2018,1,1,새해
2,2018,2,15,설날
3,2018,2,16,설날
4,2018,2,17,설날
5,2018,3,1,삼일절
6,2018,5,5,어린이날
7,2018,5,7,대체휴일
8,2018,5,22,부처님오신날
9,2018,6,6,현충일
10,2018,6,13,지방선거
11,2018,8,15,광복절
12,2018,9,23,추석
13,2018,9,24,추석
14,2018,9,25,추석
15,2018,9,26,대체휴일
16,2018,10,3,개천절
17,2018,10,9,한글날
18,2018,12,25,크리스마스
19,2019,1,1,새해
20,2019,2,4,설날
21,2019,2,5,설날
22,2019,2,6,설날
23,2019,3,1,삼일절
24,2019,5,5,어린이날
25,2019,5,6,대체휴일
26,2019,5,12,부처님오신날
27,2019,6,6,현충일
28,2019,8,15,광복절
29,2019,9,12,추석
30,2019,9,13,추석
31,2019,9,14,추석
32,2019,10,3,개천절
33,2019,10,9,한글날
34,2019,12,25,크리스마스
35,2020,1,1,새해
36,2020,1,24,설날
37,2020,1,25,설날
38,2020,1,26,설날
39,2020,1,27,설날대체휴일
40,2020,3,1,삼일절
41,2020,5,5,어린이날
42,2020,4,15,국회의원선거
43,2020,4,30,부처님오신날
44,2020,6,6,현충일
45,2020,8,15,광복절
46,2020,9,30,추석
47,2020,10,1,추석
48,2020,10,2,추석
49,2020,10,3,개천절
50,2020,10,9,한글날
51,2020,12,25,크리스마스
52,2021,1,1,새해
53,2021,2,11,설날
54,2021,2,12,설날
55,2021,2,13,설날
56,2021,3,1,삼일절
57,2021,5,5,어린이날
58,2021,5,19,부처님오신날
59,2021,6,6,현충일
60,2021,8,15,광복절
61,2021,10,20,추석
62,2021,10,21,추석
63,2021,10,22,추석
64,2021,10,3,개천절
65,2021,10,9,한글날
66,2021,12,25,크리스마스
