상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,행정동코드,법정동코드,지번주소,도로명주소,신우편번호,경도,위도
CU제주서호혁신점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대륜동,서호동,5013059000,5013010300,제주특별자치도 서귀포시 서호동 1550-9,제주특별자치도 서귀포시 서호남로32번길 39,63568,126.5146205,33.24962215
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,효돈동,신효동,5013055000,5013010900,제주특별자치도 서귀포시 신효동 841-4,제주특별자치도 서귀포시 효돈로 144,63606,126.6142348,33.26371939
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 1288-5,제주특별자치도 제주시 노형로 407,63099,126.4783548,33.4858042
세븐일레즌제주그랜드호,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 253-13,제주특별자치도 제주시 연동4길 6-3,63132,126.4875758,33.4851778
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025924,제주특별자치도 제주시 조천읍 함덕리 4157-4,제주특별자치도 제주시 조천읍 함와로 23,63333,126.6748572,33.53807278
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025024,제주특별자치도 제주시 한림읍 한림리 1405-6,제주특별자치도 제주시 한림읍 한림로 656,63032,126.2633323,33.41404585
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,예래동,상예동,5013062000,5013012000,제주특별자치도 서귀포시 상예동 775,제주특별자치도 서귀포시 예래로109번길 14,63536,126.3960319,33.25122347
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,안덕면,안덕면,5013031000,5013031027,제주특별자치도 서귀포시 안덕면 서광리 39,제주특별자치도 서귀포시 안덕면 녹차분재로 218,63521,126.2997202,33.3041909
동아편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼도2동,삼도이동,5011056000,5011010600,제주특별자치도 제주시 삼도이동 230-2,제주특별자치도 제주시 중앙로 128,63170,126.5245166,33.50715274
코리아세븐제주,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼도2동,삼도이동,5011056000,5011010600,제주특별자치도 제주시 삼도이동 803-1,제주특별자치도 제주시 서사로 25,63169,126.5200736,33.51021016
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼양동,삼양이동,5011061000,5011011400,제주특별자치도 제주시 삼양이동 2137-4,제주특별자치도 제주시 일주동로 379,63318,126.5856618,33.52139866
코리아세븐서귀포,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,예래동,색달동,5013062000,5013011900,제주특별자치도 서귀포시 색달동 2822-40,제주특별자치도 서귀포시 중문관광로72번길 29-5,63535,126.4110426,33.25009987
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025022,제주특별자치도 서귀포시 대정읍 하모리 1592,제주특별자치도 서귀포시 대정읍 일주서로 2512-41,63509,126.2558561,33.23049365
CU서귀법환점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대륜동,법환동,5013059000,5013010200,제주특별자치도 서귀포시 법환동 914,제주특별자치도 서귀포시 월드컵로 21,63572,126.5089196,33.24664174
아르본편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,애월읍,애월읍,5011025300,5011025329,제주특별자치도 제주시 애월읍 고성리 880,제주특별자치도 제주시 애월읍 평화로 2482,63065,126.4194741,33.43098252
노형타워GS편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 1288-5,제주특별자치도 제주시 노형로 407,63099,126.4783548,33.4858042
대풍리슈퍼코사마트,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025327,제주특별자치도 서귀포시 남원읍 위미리 1916-6,제주특별자치도 서귀포시 남원읍 태위로 177,63610,126.6665263,33.27550746
GS25중문마을점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,중문동,중문동,5013061000,5013011200,제주특별자치도 서귀포시 중문동 2011-19,제주특별자치도 서귀포시 천제연로207번길 16-1,63545,126.4271289,33.25300916
CU제주터미널점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,오라동,오라일동,5011064000,5011011900,제주특별자치도 제주시 오라일동 2440-7,제주특별자치도 제주시 서광로 166,63188,126.5141067,33.49977066
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,도남동,5011054000,5011012900,제주특별자치도 제주시 도남동 80,제주특별자치도 제주시 연삼로 366,63222,126.5317839,33.49296717
호돌이할인마트,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,삼도1동,삼도일동,5011055000,5011010500,제주특별자치도 제주시 삼도일동 556-7,제주특별자치도 제주시 서사로19길 21,63182,126.5221739,33.50125558
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,연동,연동,5011065000,5011013700,제주특별자치도 제주시 연동 2327-6,제주특별자치도 제주시 도령로11길 14,63126,126.4870912,33.49200578
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,건입동,건입동,5011059000,5011010700,제주특별자치도 제주시 건입동 940-12,제주특별자치도 제주시 임항로 94,63280,126.5341969,33.51769885
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한림읍,한림읍,5011025000,5011025022,제주특별자치도 제주시 한림읍 수원리 726,제주특별자치도 제주시 한림읍 한림해안로 272,63023,126.2646532,33.42545979
유진화장품,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,중문동,중문동,5013061000,5013011200,제주특별자치도 서귀포시 중문동 2119-3,제주특별자치도 서귀포시 천제연로 184,63546,126.4242359,33.25157507
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,우도면,우도면,5011033000,5011033021,제주특별자치도 제주시 우도면 연평리 2516,제주특별자치도 제주시 우도면 우도해안길 248,63365,126.9440106,33.50245867
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라이동,5011063000,5011011800,제주특별자치도 제주시 아라이동 35-19,제주특별자치도 제주시 제주대학로 105-1,63249,126.5611834,33.46030515
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라이동,5011063000,5011011800,제주특별자치도 제주시 아라이동 1417-1,제주특별자치도 제주시 간월동로 33,63245,126.5458201,33.48689378
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025928,제주특별자치도 제주시 조천읍 와산리 1488-39,제주특별자치도 제주시 조천읍 중산간동로 849,63342,126.6728734,33.4917367
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 6075-9,제주특별자치도 제주시 아란12길 24,63238,126.5442952,33.46934919
GS25제주아라점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 6082-2,제주특별자치도 제주시 중앙로 576,63238,126.5453482,33.47200318
코리아세븐제주함덕게스트하,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025924,제주특별자치도 제주시 조천읍 함덕리 261-10,제주특별자치도 제주시 조천읍 신북로 643,63333,126.6781867,33.54072298
